,M0_raw_spread_h3,M0_raw_spread_h6,M0_raw_spread_h12,M1_slope_h3,M1_slope_h6,M1_slope_h12,M2_slope_curv_h3,M2_slope_curv_h6,M2_slope_curv_h12,M3_full_ns_h3,M3_full_ns_h6,M3_full_ns_h12,M4_db1_b2_b3_h3,M4_db1_b2_b3_h6,M4_db1_b2_b3_h12
1980-09-01,0.4441423399452433,0.3780552794635461,0.4221532989729623,0.4408065029456737,0.3765615959996266,0.4215274159903428,0.43512261087345366,0.3317849526565367,0.32532389680047513,0.17150745611950657,0.00015376154273284137,1.5718696871475042e-06,0.3570129392479057,0.43603803232932925,0.41945457355682814
1980-10-01,0.7049982265390917,0.6091621915841761,0.6140575064502045,0.7014703844338452,0.6103624047325025,0.6185603347379127,0.694789834599979,0.562230286726562,0.5027320881128468,0.3909723974273085,0.0032612619525476468,1.3023099527573087e-05,0.6355455454244106,0.6555479387618761,0.5298140965289597
1980-11-01,0.9450386013926926,0.8876032180480192,0.8547444840790697,0.9431502203163183,0.8895390884600671,0.8602179985597987,0.9383675029535289,0.8498849842036582,0.7371278810748318,0.8165885426292836,0.22970688106366516,0.0032942035548534595,0.9485879839016157,0.8001290140555524,0.7198985570594592
1980-12-01,0.7619928280563774,0.6769473101193404,0.6170244391132234,0.7571670746137925,0.6768572284116672,0.6204224976467904,0.7453026997742901,0.6011166016731684,0.44963463649103114,0.4472364229544709,0.012209103075687469,2.81694990121784e-05,0.8072575292021819,0.4668260601448385,0.40222406863466686
1981-01-01,0.6979640641671587,0.6358083650705687,0.5614226003933636,0.6949963555445944,0.6369165544426861,0.5651618092146439,0.6847654392143321,0.5853903717990289,0.4372310458092231,0.31069756541841537,0.003755164478911237,4.093931252484167e-06,0.6452065280186521,0.62892376628804,0.4289327541013244
1981-02-01,0.618862454480091,0.6104421757319358,0.4807665345465643,0.610187572584606,0.6042499381576059,0.47979427748516357,0.5739871266895685,0.44347127833989447,0.21795995690804149,0.11037648486239832,4.6711906682894414e-05,4.1082082744223415e-10,0.5020456964831524,0.5312727168205216,0.19979219714017238
1981-03-01,0.28551493655587146,0.26581634812531685,0.23701555823634118,0.2725797536143949,0.25159552221367987,0.22904324711415153,0.2223513430479796,0.09206145607226462,0.029525830366820247,0.004499763021327236,4.6248146123179304e-10,1.9275880041558306e-17,0.26854375525524427,0.05253140526129085,0.03798832560430224
1981-04-01,0.5994336367850707,0.6093003210424006,0.44279448864651827,0.5918800730653803,0.6037349461651336,0.442107474479863,0.5495259992736681,0.4395451179823188,0.1894339780516296,0.05248825333693221,5.690935109918495e-06,1.5999307880553786e-12,0.40688787774311075,0.5954009663668601,0.18873359394600964
1981-05-01,0.615097109145181,0.6008253083740311,0.46648311323694974,0.606505571176674,0.5943256975953018,0.4647626291172464,0.548175457544608,0.3915863745551805,0.16634796555378184,0.08565809327624879,3.582011407142837e-05,1.2843797867511282e-10,0.6842544278572211,0.2224707204322292,0.1634767541054723
1981-06-01,0.5552379524090366,0.5254303535909276,0.425775201635672,0.5425172629155139,0.5143696082002741,0.4202287943020502,0.45597605224488275,0.2513628994629229,0.08692630528077722,0.03461642382671783,3.9511711262134495e-07,4.415436332750895e-14,0.4453784580812395,0.2494945696615547,0.08696988747361534
1981-07-01,0.6928612119379141,0.6665801778738976,0.5305225850308027,0.6800185025730716,0.6561158843676894,0.5255580208815984,0.5841710379239646,0.34033215469031675,0.10254976480112976,0.060474424072034426,9.060529795395357e-07,6.471174142606787e-15,0.5127810677773305,0.4308432980893312,0.10427363034130738
1981-08-01,0.7011954929254695,0.6752515137166858,0.5373753142207472,0.6891960005144939,0.6656952660220137,0.533111947484665,0.5983031989712019,0.36285725225908905,0.1157327884353247,0.035213230758616924,3.161690932205609e-08,7.584671706410705e-18,0.4917471654969952,0.5116417659043317,0.11869832098852034
1981-09-01,0.3858592509845333,0.35674850995421004,0.3095692776821965,0.3626501615142628,0.3342035051474678,0.2952244700489888,0.23480891667693604,0.05023107401647289,0.007085139102366593,0.00020414881573009718,1.687204212549685e-18,1.8192867575269645e-33,0.21276100912519336,0.053827368357624784,0.0071391591204260545
1981-10-01,0.16402382713255526,0.14499043446515902,0.16010553767958519,0.15550105190523683,0.13587769082965145,0.15274091906366177,0.11402383818214773,0.0386704896557273,0.018201971612379214,3.199116809675908e-05,6.526131170053443e-19,5.648794015468173e-29,0.16490114971448855,0.014039947832848248,0.017523574722534692
1981-11-01,0.06456601766396998,0.054793330471403535,0.08321901455358133,0.0609403731406891,0.050496383050522835,0.07820553528631935,0.0459409183088881,0.01553968650284663,0.012528116511109176,1.3380140595297439e-05,4.262525753202036e-18,1.4252657728755236e-24,0.12698928307857826,0.0010270213026671263,0.011451865990574062
1981-12-01,0.1057291735216277,0.09161289003001688,0.11699135430211483,0.09721090163202767,0.08266499554704815,0.10861513088529612,0.059900007710510864,0.011475803503713676,0.004321296817235983,9.583386900864897e-06,1.595097990958791e-20,1.5427649323745339e-30,0.03521949640523521,0.025165144598497544,0.004503163056809074
1982-01-01,0.19937757859684896,0.17791071676999093,0.18483975806954295,0.19055799492072,0.16855492784066095,0.177792762831682,0.14566481660033925,0.0569305272242528,0.02708013237858385,0.00018281442288403533,1.2580947864532802e-15,2.6860049388425005e-24,0.11608105608340058,0.07748453056526704,0.027539589530905274
1982-02-01,0.2526611588782894,0.22817973918782436,0.22103595187364922,0.24126745024134932,0.21654024393172366,0.21297040819262059,0.18079912844731644,0.0672519493280841,0.026108343794076373,0.000531772076167334,4.331871631082746e-14,7.718655373428483e-23,0.20571754572127937,0.04431284626465337,0.025692515657577387
1982-03-01,0.340078562474028,0.3121270282404633,0.27917607788240784,0.32594310846804175,0.2982484224796474,0.2704221416546101,0.2459592295139918,0.09412709565965993,0.03036548295959221,0.0019812370346411288,3.700373250770347e-12,6.369572150160285e-21,0.26754680094484085,0.06897173758277778,0.029988395090806863
1982-04-01,0.25935857950435093,0.234549119948742,0.22552587522436346,0.24735546669588404,0.22235240163400077,0.21713802600564314,0.1835216587789531,0.06614069881978854,0.024395817337654162,0.0009303862825137184,5.925495693434542e-13,4.1421977781349566e-21,0.21846824372176143,0.038739560290698895,0.02388524381370299
1982-05-01,0.12968222795371348,0.11339410621540735,0.13517260027663902,0.11992636370757681,0.10321227605542171,0.12630441504916678,0.07570747925845725,0.015790958175920657,0.00556689562496286,3.661445590763703e-05,3.38232449671967e-18,1.590485669512968e-27,0.07767514294706013,0.012181340308881107,0.005530351592945104
1982-06-01,0.2593355468508385,0.23452719686114648,0.22551045087308502,0.2423244141571712,0.21754856917809257,0.21369462268453032,0.15591504857441246,0.03444676699647839,0.00749758780221883,0.0002455701896253747,2.7996850377305467e-16,2.8019953635724705e-27,0.11751281376586908,0.05249612523187616,0.007689556755613458
1982-07-01,0.060020797620781344,0.05078548071689091,0.07919368702821739,0.05317187073261474,0.043734840573649805,0.07116272044734917,0.02663092110085929,0.002569947843289917,0.0007985077613723483,9.734408465693785e-07,3.71198844606834e-24,6.385330908147849e-35,0.04064469352729164,0.0006983858216700399,0.0007630202867925017
1982-08-01,0.02789821417405743,0.022917597185237726,0.047543902299343216,0.02362784767289114,0.018623378510875203,0.04105100058883411,0.009296638201162395,0.0004038765341157185,0.00011364063960887463,2.0309625212493495e-07,8.705710366757265e-26,1.0625625885842525e-35,0.023128459882615963,2.75845855358214e-05,0.00010345166068256815
1982-09-01,0.023704951079601907,0.019356795729850156,0.04274212815495188,0.02006009860835569,0.015679620670081364,0.03680817637288936,0.007960552248354255,0.000354788015655581,0.0001148165433592562,7.463119729909036e-07,1.1103242219319245e-22,1.495192614272512e-30,0.017254978754001525,3.637800358419488e-05,0.00010616844474125704
1982-10-01,0.03609306446087276,0.02993731925959074,0.056335020420666314,0.03416152049744599,0.02744555236265559,0.052600962436088375,0.027132074985173817,0.009936109624241768,0.01149615509384527,8.175000817497416e-05,3.1828035904404717e-13,5.25099549600011e-16,0.03356219628814251,0.005484232985555456,0.011293801121690726
1982-11-01,0.05375695603753863,0.045284901617083054,0.07350787672486102,0.05185280799580511,0.042592197055030555,0.06994099195411532,0.04516297919958252,0.022172262508285773,0.025337223234678772,0.0003885316562609702,7.683961256916897e-11,3.7535200274529164e-13,0.04427513163973876,0.020021131452147265,0.025316324839402226
